identifier,title,creator.name,description,date,date_display,source,page,type,subtype,contributor.name,theme,people,places,powers,ethnic.group
teaa.img.0001,Out of Africa Have I Called My Son,,Photograph of African troops marching behind a white officer.,1918-06,"June, 1918",The Crisis,81,Image,Photographs,"Jones, Jeannette Eileen",,,,,
teaa.img.0002,Spahis (Negroid Algerians) at Salonica,,"Photograph of Spahis, one of many light cavalrymen in the French army, from the French colonies in North Africa: Morocco, Algeria, and Tunisia.",1918-06,"June, 1918",The Crisis,81,Image,Photographs,"Jones, Jeannette Eileen",,,Algeria,France,
teaa.img.0003,"Voice of Congo: ""If your uncle would have left us our hands, Albert, we could be of more use to you now!""","Charleston, E. A.",Political cartoon depicting King Albert of Belgium meeting with a Congolese man from the Belgian Congo colony.,1917-03,"March, 1917",The Crisis,247,Image,Cartoons,"Jones, Jeannette Eileen",,"Albert I, King of the Belgians, 1875-1934; Leopold II, King of the Belgians, 1835-1909",Belgian Congo,Belgium,Congolese
teaa.img.0004,"Daudi Chua, King of Uganda, with His Regents",,"Photograph of King Chua, two regents, and four Englishmen in official British garb.",1912-10,"October, 1912",The Crisis,,Image,Photographs,"Jones, Jeannette Eileen",,"Daudi Chua, King of Uganda",Uganda,Great Britain,
teaa.img.0005,Europe's Wedges and Wars in Africa,,"Map depicting ""wedges of civilization"" representing Great Britain, France, Portugal, Germany, Italy, and Spain and their scramble to control parts of Africa.",1899-11-19,"November 19, 1899",Chicago Daily Tribune,,Image,Maps,"Jones, Jeannette Eileen",,,,Great Britain; France; Portugal; Germany; Italy; Spain,
teaa.img.0006,A Lesson in Philanthropy-Nit,"McGowan, Foster","Political cartoon depicting King Leopold chewing on a bone with one side covered in rubber while a British officer stands by frothing at the mouth, begging for the leavings.",1907-01,"January, 1907",The Voice of the Negro,,Image,Cartoons,"Jones, Jeannette Eileen",,"Leopold II, King of the Belgians, 1835-1909",,Belgium; Great Britain,
teaa.img.0007,Three Sentries at Lokongia with Prisoner,,"Photograph of three sentries with a prisoner in Lokongia, Congo.",1907-01,"January, 1907",The Voice of the Negro,,Image,Photographs,"Jones, Jeannette Eileen",,,Lokongia (Congo),,
teaa.img.0008,Mutilated Congo Natives--A Few Survivors,,Collage of photographs of Congolese men and women mutilated by Belgian forces.,1907-01,"January, 1907",The Voice of the Negro,,Image,Photographs,"Jones, Jeannette Eileen",,,Congo Free State,Belgium,Congolese
teaa.img.0009,Number Five--Belgian Civilization in Africa,,Political cartoon depicting King Leopold sitting on his throne decorated with human skulls and bones.,1906-09,"September, 1906",The Voice of the Negro,,Image,Cartoons,"Jones, Jeannette Eileen",,"Leopold II, King of the Belgians, 1835-1909",Congo Free State,Belgium,
teaa.img.0010,The Temple of Beauty in the Great Court of Freedom,Tandy & Foster,Photograph of the Temple of Beauty in the Great Court of Freedom at the National Emancipation Exposition in New York City.,1913-12,"December, 1913",The Crisis,78,Image,Photographs,"Gruesser, John",Pan-Africanism; Imagined Africa,,New York (New York),,
teaa.img.0011,The Historical Pageant of the Negro Race at the Emancipation Exposition: Forty Maidens before the Enthroned Pharaoh,,Photograph from the performance of The Star of Ethiopia.,1913-12,"December, 1913",The Crisis,79,Image,Photographs,"Gruesser, John",Pan-Africanism; Imagined Africa,,,,
